제목,평점,개봉,연간,누적
토르: 다크 월드,7.6, 2013.10.30. ,3039889,3040115
레드: 더 레전드,7.2, 2013.07.18. ,3004647,3004649
친구 2,6.1, 2013.11.14. ,2969900,2971475
어바웃 타임,8.6, 2013.12.05. ,2856065,3441657
나우 유 씨 미 : 마술사기단,7.6, 2013.08.22. ,2718227,2718237
소원,8.7, 2013.10.02. ,2711071,2711094
레미제라블,8.4, 2012.12.19. ,2707484,5938769
퍼시픽 림,6.9, 2013.07.11. ,2539114,2539115
화이: 괴물을 삼킨 아이,7.4, 2013.10.09. ,2394453,2394487
컨저링,7.4, 2013.09.17. ,2262758,2262758
맨 오브 스틸,7.4, 2013.06.13. ,2182227,2182227
용의자,7.9, 2013.12.24. ,2176752,4131338
호빗: 스마우그의 폐허,7.5, 2013.12.12. ,2115878,2282744
도둑들,7.9, 2012.07.25. ,12983178,12984692
"광해, 왕이 된 남자",8.6, 2012.09.13. ,12319390,12324062
어벤져스,8.6, 2012.04.26. ,7074867,7087068
늑대소년,8.4, 2012.10.31. ,6654390,6655068
다크 나이트 라이즈,8.3, 2020.07.08. ,6396528,6428566
바람과 함께 사라지다,7.2, 2012.08.08. ,4909937,4909950
어메이징 스파이더맨,7.0, 2012.06.28. ,4853123,4853273
범죄와의 전쟁: 나쁜놈들 전성시대,8.2, 2012.02.02. ,4719872,4720172
내 아내의 모든 것,8.2, 2012.05.17. ,4598821,4598985
연가시,6.8, 2012.07.05. ,4515833,4516063
건축학개론,8.4, 2012.03.22. ,4111068,4113761
댄싱퀸,8.6, 2012.01.18. ,4058225,4058225
부러진 화살,9.5, 2012.01.18. ,3451025,3460212
맨 인 블랙 3,7.2, 2012.05.24. ,3379762,3379764
레미제라블,8.4, 2012.12.19. ,3210107,5938769
26년,8.4, 2012.11.29. ,2940475,2963652
내가 살인범이다,8.5, 2012.11.08. ,2729798,2729830
브레이킹 던 part2,7.8, 2012.11.15. ,2654817,2654817
후궁 : 제왕의 첩,6.5, 2012.06.06. ,2636320,2636385
호빗: 뜻밖의 여정,8.1, 2012.12.13. ,2605124,2818993
미션임파서블:고스트프로토콜,8.5, 2011.12.15. ,2533735,7508976
화차,7.9, 2012.03.08. ,2436438,2436884
이웃사람,8.0, 2012.08.22. ,2434269,2434435
007 스카이폴,7.2, 2012.10.26. ,2376145,2376266
테이큰 2,6.7, 2012.09.27. ,2308596,2308646
배틀쉽,5.8, 2012.04.11. ,2241687,2241687
장화신은 고양이,7.8, 2012.01.12. ,2080445,2080445
타워,6.7, 2012.12.25. ,2014589,5181244
코리아,8.4, 2012.05.03. ,1872681,1872682
나의 PS 파트너,7.7, 2012.12.06. ,1786831,1831741
트랜스포머 3,6.5, 2011.06.29. ,7784743,7785189
최종병기 활,8.2, 2011.08.10. ,7470633,7470633
써니,9.0, 2011.07.28. ,7362657,7363139
완득이,9.1, 2011.10.20. ,5309928,5311353
쿵푸팬더 2,8.5, 2011.05.26. ,5062720,5064796
미션임파서블:고스트프로토콜,8.5, 2011.12.15. ,4975161,7508976
조선명탐정 : 각시투구꽃의 비밀,7.9, 2011.01.27. ,4786259,4786259
도가니,9.4, 2011.09.22. ,4662822,4662926
해리포터와 죽음의 성물2,9.2, 2011.07.13. ,4400270,4421210
리얼 스틸,8.7, 2011.10.12. ,3579666,3579666
캐리비안의 해적: 낯선 조류,7.6, 2011.05.19. ,3130046,3130046
퀵,7.8, 2011.07.20. ,3125069,3125069
고지전,8.5, 2011.07.20. ,2945137,2945151
오싹한 연애,7.4, 2011.12.01. ,2777998,3009406
혹성탈출: 진화의 시작,8.5, 2011.08.17. ,2773794,2773794
위험한 상견례,7.7, 2011.03.31. ,2595625,2595625
엑스맨: 퍼스트 클래스,8.6, 2011.06.02. ,2533852,2534979
의뢰인,7.8, 2011.09.29. ,2393086,2393103
가문의 영광4 - 가문의 수난,2.9, 2011.09.07. ,2368267,2368267
블라인드,8.4, 2011.08.10. ,2367942,2367942
7광구,4.1, 2011.08.04. ,2242510,2242510
마당을 나온 암탉,8.9, 2011.07.28. ,2201273,2204374
라스트 갓파더,6.9, 2010.12.29. ,1998059,2541603
글러브,8.8, 2011.01.20. ,1887731,1887733
아이들...,7.8, 2011.02.17. ,1867849,1867849
걸리버 여행기,5.3, 2011.01.27. ,1762071,1762071
평양성,7.7, 2011.01.27. ,1717566,1717566
토르: 천둥의 신,7.2, 2011.04.28. ,1694562,1694769
헬로우 고스트,8.5, 2010.12.22. ,1663550,3019960
그대를 사랑합니다,9.5, 2011.02.17. ,1645505,1649407
